approach,encoding,input_mib,concurrency,input_rss_mib,peak_rss_mib,rust_allocated_mib,python_peak_traced_mib,cpu_seconds,wall_seconds,wire_mib_per_second,extraction_seconds,transform_seconds,preparation_seconds,signing_seconds,sending_seconds,body_sha256
python,encoded,1,1,36.015625,38.5,0.008942,2.00469,0.007635,0.007596,131.680602,1e-06,1e-06,0.002508,0.00082,0.004382,f8307139b09453fd8af8ec4551aff42459dc60d0ba84090a5e223e1421e037b1
buffered,encoded,1,1,35.515625,39.8125,4.070372,0.000585,0.006976,0.006722,148.81207,0.000109,1e-05,0.000588,0.002739,0.0033,f8307139b09453fd8af8ec4551aff42459dc60d0ba84090a5e223e1421e037b1
current,encoded,1,1,35.6875,36.921875,0.10866,0.000532,0.008435,0.007915,126.376088,3.8e-05,1.3e-05,0.000858,0.003445,0.003544,f8307139b09453fd8af8ec4551aff42459dc60d0ba84090a5e223e1421e037b1
refactor,encoded,1,1,36.109375,37.265625,0.08128,0.000418,0.008424,0.007869,127.107453,5.8e-05,1.3e-05,0.000739,0.003435,0.003662,f8307139b09453fd8af8ec4551aff42459dc60d0ba84090a5e223e1421e037b1
python,encoded,1,16,51.578125,72.578125,0.144142,17.035325,0.100369,0.052824,302.962791,7e-06,9e-06,0.034603,0.008962,0.009126,f8307139b09453fd8af8ec4551aff42459dc60d0ba84090a5e223e1421e037b1
buffered,encoded,1,16,51.0625,88.09375,65.147511,0.001463,0.103402,0.059328,269.750457,0.001444,4.4e-05,0.008051,0.043155,0.006447,f8307139b09453fd8af8ec4551aff42459dc60d0ba84090a5e223e1421e037b1
current,encoded,1,16,50.828125,54.4375,1.318544,0.000624,0.124145,0.072433,220.947769,0.000556,4.9e-05,0.013589,0.052113,0.006186,f8307139b09453fd8af8ec4551aff42459dc60d0ba84090a5e223e1421e037b1
refactor,encoded,1,16,51.4375,54.953125,1.321156,0.000624,0.11704,0.065675,243.682147,0.000874,4.9e-05,0.008303,0.050536,0.005896,f8307139b09453fd8af8ec4551aff42459dc60d0ba84090a5e223e1421e037b1
python,encoded,16,1,51.09375,83.578125,0.008944,32.00469,0.089575,0.0881,181.614275,2e-06,2e-06,0.033938,0.008023,0.045926,0715e88725a53c5ee6fd0e1913e6593394af313e30063c64c1d193c938b754e2
buffered,encoded,16,1,50.765625,84.109375,64.07048,0.000615,0.097848,0.095846,166.936747,0.001316,9e-06,0.007207,0.042597,0.044757,0715e88725a53c5ee6fd0e1913e6593394af313e30063c64c1d193c938b754e2
current,encoded,16,1,50.53125,51.796875,0.108662,0.000563,0.120787,0.110464,144.846236,0.000435,1.3e-05,0.013541,0.051401,0.044892,0715e88725a53c5ee6fd0e1913e6593394af313e30063c64c1d193c938b754e2
refactor,encoded,16,1,51.03125,52.21875,0.081282,0.000448,0.113516,0.104137,153.645635,0.000746,1.3e-05,0.007921,0.050322,0.045007,0715e88725a53c5ee6fd0e1913e6593394af313e30063c64c1d193c938b754e2
python,encoded,16,16,292.125,567.1875,0.144173,272.035325,1.374041,0.728761,351.286222,1e-05,1.1e-05,0.549075,0.124654,0.050559,0715e88725a53c5ee6fd0e1913e6593394af313e30063c64c1d193c938b754e2
buffered,encoded,16,16,291.1875,807.46875,1025.131947,0.001524,1.542114,0.90781,282.001427,0.031269,5.5e-05,0.120981,0.707183,0.050253,0715e88725a53c5ee6fd0e1913e6593394af313e30063c64c1d193c938b754e2
