open_pr_id,open_pr_title,match_found,score,match_pr_id,match_pr_title
23050,fix(zai): map thinking/reasoning_effort params to Z.ai format,False,0.8238,,
23048,fix(anthropic): preserve content block ordering on round-trip with multiple web searches,False,0.8406,,
23046,Team admin UI permissions,True,0.9302,21462,Mcp user permissions
23044,Agents health check,True,0.9007,23040,[Infra] Building UI for Release
23043,Hybrid sidecar architecture,False,0.8690,,
23042,fix(bedrock): strip output_config from Bedrock Invoke requests,False,0.8235,,
23041,fix(guardrails): propagate Bedrock GUARDRAIL_INTERVENED when assessments are missing,False,0.8207,,
23039,fix(hosted_vllm): convert thinking blocks to text for vLLM compatibility,False,0.8524,,
23037,fix(presidio): PII token round-trip masking/unmasking for Anthropic native API,False,0.8131,,
23035,feat: add Azure GPT-5.4 model support with reasoning effort levels,False,0.8698,,
23032,Fix CVEs: npm tar/minimatch + pypdf,False,0.7342,,
23030,chore: regenerate poetry.lock to match pyproject.toml,True,0.9952,22769,chore: regenerate poetry.lock to match pyproject.toml
23026,fix(vertex_ai): convert image URLs to base64 for /v1/messages endpoint,False,0.8179,,
23024,[Fix] Zero Cost for claude-opus-4-6 With Stale DB Pricing Defaults,False,0.7716,,
23023,[Infra] Speed Up /team/daily/activity Query Performance,False,0.8478,,
23018,fix(budget): log warning on timezone fallback to UTC,True,0.9241,21754,fix(budget): fix timezone config lookup and replace hardcoded timezone map with ZoneInfo
23013,feat: add CAMB AI text-to-speech provider,False,0.8535,,
23012,feat(mcp): popular REST API gallery for OpenAPI MCPs + per-user OAuth2 connect in ChatUI,False,0.7554,,
23010,Fix duplicate async success log emissions for streaming requests (#21…,True,0.8850,21355,Fix duplicate async success log emissions for streaming requests
23007,fix: ProxyException.__str__ returns message instead of empty string,False,0.8380,,
23004,fix: resolve three bugs in /ask-codebase PR (Greptile findings),False,0.7681,,
23002,test: regression tests for Bedrock duplicate toolUse ID bug,False,0.7879,,
23000,fix(logging): redact messages in async_failure_handler when turn_off_…,False,0.7847,,
22999,feat(panw-prisma-airs): PANW Prisma AIRS guardrail with apply_guardrail support,False,0.8560,,
22995,Merge Main to Feb 22 Stage,True,0.9528,22752,[Feat] Add Google Search API Integration
22994,Litellm release day 03 07 2026,True,0.9325,22752,[Feat] Add Google Search API Integration
22993,fix: LITELLM_DROP_PARAMS / LITELLM_MODIFY_PARAMS env vars always truthy for any non-empty string value,False,0.7858,,
22991,fix(vertex): drop extra_body.cache from Gemini request payload,False,0.8240,,
22990,fix(azure): strip output_config parameter from Azure OpenAI requests,False,0.8590,,
22989,feat : add session_id filter to /spend/logs/v2 endpoint,False,0.7989,,
22988,Dynamic limiting prioritization reference,True,0.8816,23040,[Infra] Building UI for Release
22987,feat(voyage): add support for voyage-4-large in litellm proxy,True,0.8712,21077,feat(ui): added UI for Zscaler AI Guard
22986,fix VLLM cached tokens handling in token cost calculator,False,0.8562,,
22985,fix(proxy): make async_post_call_response_headers_hook consistent across all endpoints,False,0.8224,,
22980,fix k8s migration job - create volumes for readonly fs,False,0.7520,,
22979,fix: sanitize empty text content blocks in /v1/messages endpoint,True,0.9613,22933,fix: sanitize empty text content blocks in /v1/messages endpoint
22978,fix(lint): fix all ruff PLR0915 and F401 CI failures on main,False,0.8306,,
22977,fix(responses): strip empty text content parts before chat/completion…,False,0.8569,,
22976,networking: abstract http interfaces,False,0.8492,,
22975,fix: add jp. (Japan) region prefix for claude-sonnet-4-6 Bedrock,False,0.7698,,
22974,fix(model_prices): add jp. region prefix for claude-sonnet-4-6,False,0.8241,,
22969,chore: elaborate the missing keys in validate_environment,True,0.8913,22834,chore
22967,fix(chatgpt): normalize system-role payloads for chat/responses,False,0.7929,,
22960,[Fix] Optimize Team Usage Daily Activity Query for Large Datasets,True,0.8719,22938,[Fix] Team Usage Spend Truncated Due to Pagination
22959,tests: fix typo in Clarifai test failure message,False,0.8174,,
22958,tests: fix typo in Triton test failure message,False,0.7965,,
22955,fix: normalize response images missing index + guard audio duration o…,False,0.8296,,
22947,fix(anthropic): sanitize /v1/messages pass-through for tool_use content ordering,False,0.8378,,
