open_pr_id,open_pr_title,match_found,score,match_pr_id,match_pr_title
23050,fix(zai): map thinking/reasoning_effort params to Z.ai format,False,0.7546,,
23048,fix(anthropic): preserve content block ordering on round-trip with multiple web searches,False,0.7593,,
23046,Team admin UI permissions,True,0.9015,23040,[Infra] Building UI for Release
23044,Agents health check,True,0.9007,23040,[Infra] Building UI for Release
23043,Hybrid sidecar architecture,False,0.8690,,
23042,fix(bedrock): strip output_config from Bedrock Invoke requests,False,0.8235,,
23041,fix(guardrails): propagate Bedrock GUARDRAIL_INTERVENED when assessments are missing,False,0.7420,,
23039,fix(hosted_vllm): convert thinking blocks to text for vLLM compatibility,False,0.7699,,
23037,fix(presidio): PII token round-trip masking/unmasking for Anthropic native API,False,0.7480,,
23035,feat: add Azure GPT-5.4 model support with reasoning effort levels,False,0.8698,,
23032,Fix CVEs: npm tar/minimatch + pypdf,False,0.7342,,
23030,chore: regenerate poetry.lock to match pyproject.toml,True,0.9952,22769,chore: regenerate poetry.lock to match pyproject.toml
23026,fix(vertex_ai): convert image URLs to base64 for /v1/messages endpoint,False,0.7616,,
23024,[Fix] Zero Cost for claude-opus-4-6 With Stale DB Pricing Defaults,False,0.7716,,
23023,[Infra] Speed Up /team/daily/activity Query Performance,False,0.8478,,
23018,fix(budget): log warning on timezone fallback to UTC,False,0.8622,,
23013,feat: add CAMB AI text-to-speech provider,False,0.8287,,
23012,feat(mcp): popular REST API gallery for OpenAPI MCPs + per-user OAuth2 connect in ChatUI,False,0.7554,,
23010,Fix duplicate async success log emissions for streaming requests (#21…,False,0.8023,,
23007,fix: ProxyException.__str__ returns message instead of empty string,False,0.8347,,
23004,fix: resolve three bugs in /ask-codebase PR (Greptile findings),False,0.7578,,
23002,test: regression tests for Bedrock duplicate toolUse ID bug,False,0.7389,,
23000,fix(logging): redact messages in async_failure_handler when turn_off_…,False,0.7311,,
22999,feat(panw-prisma-airs): PANW Prisma AIRS guardrail with apply_guardrail support,False,0.8022,,
22995,Merge Main to Feb 22 Stage,True,0.9528,22752,[Feat] Add Google Search API Integration
22994,Litellm release day 03 07 2026,True,0.9325,22752,[Feat] Add Google Search API Integration
22993,fix: LITELLM_DROP_PARAMS / LITELLM_MODIFY_PARAMS env vars always truthy for any non-empty string value,False,0.7538,,
22991,fix(vertex): drop extra_body.cache from Gemini request payload,False,0.7642,,
22990,fix(azure): strip output_config parameter from Azure OpenAI requests,False,0.8379,,
22989,feat : add session_id filter to /spend/logs/v2 endpoint,False,0.7419,,
22988,Dynamic limiting prioritization reference,True,0.8816,23040,[Infra] Building UI for Release
22987,feat(voyage): add support for voyage-4-large in litellm proxy,False,0.8692,,
