kind	route	python_path_or_operation	rust_path_or_operation	python_type	rust_type	status	relationship	selector_source	parity_evidence	notes	python_revision	rust_crate
base	chat_completions	litellm/llms/base_llm/chat/transformation.py	base_llm/chat/transformation.rs	BaseConfig	BaseConfig	declaration			not assessed	Required scaffold methods do not imply inherited behavior is implemented	39aa0a29d3ba1ec6b99ceca726f586daec0397de	llms
operation	chat_completions	litellm/llms/base_llm/chat/transformation.py::BaseConfig.get_config	base_llm/chat/transformation.rs::BaseConfig::get_config	BaseConfig	BaseConfig	declaration	inherited_default		not assessed		39aa0a29d3ba1ec6b99ceca726f586daec0397de	llms
operation	chat_completions	litellm/llms/base_llm/chat/transformation.py::BaseConfig.get_json_schema_from_pydantic_object	base_llm/chat/transformation.rs::BaseConfig::get_json_schema_from_pydantic_object	BaseConfig	BaseConfig	declaration	inherited_default		not assessed		39aa0a29d3ba1ec6b99ceca726f586daec0397de	llms
operation	chat_completions	litellm/llms/base_llm/chat/transformation.py::BaseConfig.is_thinking_enabled	base_llm/chat/transformation.rs::BaseConfig::is_thinking_enabled	BaseConfig	BaseConfig	declaration	inherited_default		not assessed		39aa0a29d3ba1ec6b99ceca726f586daec0397de	llms
operation	chat_completions	litellm/llms/base_llm/chat/transformation.py::BaseConfig.is_max_tokens_in_request	base_llm/chat/transformation.rs::BaseConfig::is_max_tokens_in_request	BaseConfig	BaseConfig	declaration	inherited_default		not assessed		39aa0a29d3ba1ec6b99ceca726f586daec0397de	llms
operation	chat_completions	litellm/llms/base_llm/chat/transformation.py::BaseConfig.update_optional_params_with_thinking_tokens	base_llm/chat/transformation.rs::BaseConfig::update_optional_params_with_thinking_tokens	BaseConfig	BaseConfig	declaration	inherited_default		not assessed		39aa0a29d3ba1ec6b99ceca726f586daec0397de	llms
operation	chat_completions	litellm/llms/base_llm/chat/transformation.py::BaseConfig.should_fake_stream	base_llm/chat/transformation.rs::BaseConfig::should_fake_stream	BaseConfig	BaseConfig	declaration	inherited_default		not assessed		39aa0a29d3ba1ec6b99ceca726f586daec0397de	llms
operation	chat_completions	litellm/llms/base_llm/chat/transformation.py::BaseConfig._add_tools_to_optional_params	base_llm/chat/transformation.rs::BaseConfig::add_tools_to_optional_params	BaseConfig	BaseConfig	declaration	inherited_default		not assessed		39aa0a29d3ba1ec6b99ceca726f586daec0397de	llms
operation	chat_completions	litellm/llms/base_llm/chat/transformation.py::BaseConfig.translate_developer_role_to_system_role	base_llm/chat/transformation.rs::BaseConfig::translate_developer_role_to_system_role	BaseConfig	BaseConfig	declaration	inherited_default		not assessed		39aa0a29d3ba1ec6b99ceca726f586daec0397de	llms
operation	chat_completions	litellm/llms/base_llm/chat/transformation.py::BaseConfig.should_retry_llm_api_inside_llm_translation_on_http_error	base_llm/chat/transformation.rs::BaseConfig::should_retry_llm_api_inside_llm_translation_on_http_error	BaseConfig	BaseConfig	declaration	inherited_default		not assessed		39aa0a29d3ba1ec6b99ceca726f586daec0397de	llms
operation	chat_completions	litellm/llms/base_llm/chat/transformation.py::BaseConfig.transform_request_on_unprocessable_entity_error	base_llm/chat/transformation.rs::BaseConfig::transform_request_on_unprocessable_entity_error	BaseConfig	BaseConfig	declaration	inherited_default		not assessed		39aa0a29d3ba1ec6b99ceca726f586daec0397de	llms
operation	chat_completions	litellm/llms/base_llm/chat/transformation.py::BaseConfig.max_retry_on_unprocessable_entity_error	base_llm/chat/transformation.rs::BaseConfig::max_retry_on_unprocessable_entity_error	BaseConfig	BaseConfig	declaration	inherited_default		not assessed		39aa0a29d3ba1ec6b99ceca726f586daec0397de	llms
operation	chat_completions	litellm/llms/base_llm/chat/transformation.py::BaseConfig.get_supported_openai_params	base_llm/chat/transformation.rs::BaseConfig::get_supported_openai_params	BaseConfig	BaseConfig	declaration	abstract		not assessed		39aa0a29d3ba1ec6b99ceca726f586daec0397de	llms
operation	chat_completions	litellm/llms/base_llm/chat/transformation.py::BaseConfig._add_response_format_to_tools	base_llm/chat/transformation.rs::BaseConfig::add_response_format_to_tools	BaseConfig	BaseConfig	declaration	inherited_default		not assessed		39aa0a29d3ba1ec6b99ceca726f586daec0397de	llms
operation	chat_completions	litellm/llms/base_llm/chat/transformation.py::BaseConfig.map_openai_params	base_llm/chat/transformation.rs::BaseConfig::map_openai_params	BaseConfig	BaseConfig	declaration	abstract		not assessed		39aa0a29d3ba1ec6b99ceca726f586daec0397de	llms
operation	chat_completions	litellm/llms/base_llm/chat/transformation.py::BaseConfig.validate_environment	base_llm/chat/transformation.rs::BaseConfig::validate_environment	BaseConfig	BaseConfig	declaration	abstract		not assessed		39aa0a29d3ba1ec6b99ceca726f586daec0397de	llms
operation	chat_completions	litellm/llms/base_llm/chat/transformation.py::BaseConfig.sign_request	base_llm/chat/transformation.rs::BaseConfig::sign_request	BaseConfig	BaseConfig	declaration	inherited_default		not assessed		39aa0a29d3ba1ec6b99ceca726f586daec0397de	llms
operation	chat_completions	litellm/llms/base_llm/chat/transformation.py::BaseConfig.get_complete_url	base_llm/chat/transformation.rs::BaseConfig::get_complete_url	BaseConfig	BaseConfig	declaration	inherited_default		not assessed		39aa0a29d3ba1ec6b99ceca726f586daec0397de	llms
operation	chat_completions	litellm/llms/base_llm/chat/transformation.py::BaseConfig.transform_request	base_llm/chat/transformation.rs::BaseConfig::transform_request	BaseConfig	BaseConfig	declaration	abstract		not assessed		39aa0a29d3ba1ec6b99ceca726f586daec0397de	llms
operation	chat_completions	litellm/llms/base_llm/chat/transformation.py::BaseConfig.async_transform_request	base_llm/chat/transformation.rs::BaseConfig::async_transform_request	BaseConfig	BaseConfig	declaration	inherited_default		not assessed		39aa0a29d3ba1ec6b99ceca726f586daec0397de	llms
operation	chat_completions	litellm/llms/base_llm/chat/transformation.py::BaseConfig.transform_response	base_llm/chat/transformation.rs::BaseConfig::transform_response	BaseConfig	BaseConfig	declaration	abstract		not assessed		39aa0a29d3ba1ec6b99ceca726f586daec0397de	llms
operation	chat_completions	litellm/llms/base_llm/chat/transformation.py::BaseConfig.transform_parsed_response_dict	base_llm/chat/transformation.rs::BaseConfig::transform_parsed_response_dict	BaseConfig	BaseConfig	declaration	inherited_default		not assessed		39aa0a29d3ba1ec6b99ceca726f586daec0397de	llms
operation	chat_completions	litellm/llms/base_llm/chat/transformation.py::BaseConfig.get_error_class	base_llm/chat/transformation.rs::BaseConfig::get_error_class	BaseConfig	BaseConfig	declaration	abstract		not assessed		39aa0a29d3ba1ec6b99ceca726f586daec0397de	llms
operation	chat_completions	litellm/llms/base_llm/chat/transformation.py::BaseConfig.get_model_response_iterator	base_llm/chat/transformation.rs::BaseConfig::get_model_response_iterator	BaseConfig	BaseConfig	declaration	inherited_default		not assessed		39aa0a29d3ba1ec6b99ceca726f586daec0397de	llms
operation	chat_completions	litellm/llms/base_llm/chat/transformation.py::BaseConfig.get_async_custom_stream_wrapper	base_llm/chat/transformation.rs::BaseConfig::get_async_custom_stream_wrapper	BaseConfig	BaseConfig	declaration	inherited_default		not assessed		39aa0a29d3ba1ec6b99ceca726f586daec0397de	llms
operation	chat_completions	litellm/llms/base_llm/chat/transformation.py::BaseConfig.get_sync_custom_stream_wrapper	base_llm/chat/transformation.rs::BaseConfig::get_sync_custom_stream_wrapper	BaseConfig	BaseConfig	declaration	inherited_default		not assessed		39aa0a29d3ba1ec6b99ceca726f586daec0397de	llms
operation	chat_completions	litellm/llms/base_llm/chat/transformation.py::BaseConfig.custom_llm_provider	base_llm/chat/transformation.rs::BaseConfig::custom_llm_provider	BaseConfig	BaseConfig	declaration	inherited_default		not assessed		39aa0a29d3ba1ec6b99ceca726f586daec0397de	llms
operation	chat_completions	litellm/llms/base_llm/chat/transformation.py::BaseConfig.has_custom_stream_wrapper	base_llm/chat/transformation.rs::BaseConfig::has_custom_stream_wrapper	BaseConfig	BaseConfig	declaration	inherited_default		not assessed		39aa0a29d3ba1ec6b99ceca726f586daec0397de	llms
operation	chat_completions	litellm/llms/base_llm/chat/transformation.py::BaseConfig.uses_async_transform_request	base_llm/chat/transformation.rs::BaseConfig::uses_async_transform_request	BaseConfig	BaseConfig	declaration	inherited_default		not assessed		39aa0a29d3ba1ec6b99ceca726f586daec0397de	llms
operation	chat_completions	litellm/llms/base_llm/chat/transformation.py::BaseConfig.supports_stream_param_in_request_body	base_llm/chat/transformation.rs::BaseConfig::supports_stream_param_in_request_body	BaseConfig	BaseConfig	declaration	inherited_default		not assessed		39aa0a29d3ba1ec6b99ceca726f586daec0397de	llms
operation	chat_completions	litellm/llms/base_llm/chat/transformation.py::BaseConfig.post_stream_processing	base_llm/chat/transformation.rs::BaseConfig::post_stream_processing	BaseConfig	BaseConfig	declaration	inherited_default		not assessed		39aa0a29d3ba1ec6b99ceca726f586daec0397de	llms
operation	chat_completions	litellm/llms/base_llm/chat/transformation.py::BaseConfig.apply_assembled_streaming_response_metadata	base_llm/chat/transformation.rs::BaseConfig::apply_assembled_streaming_response_metadata	BaseConfig	BaseConfig	declaration	inherited_default		not assessed		39aa0a29d3ba1ec6b99ceca726f586daec0397de	llms
operation	chat_completions	litellm/llms/base_llm/chat/transformation.py::BaseConfig.calculate_additional_costs	base_llm/chat/transformation.rs::BaseConfig::calculate_additional_costs	BaseConfig	BaseConfig	declaration	inherited_default		not assessed		39aa0a29d3ba1ec6b99ceca726f586daec0397de	llms
base	messages	litellm/llms/base_llm/anthropic_messages/transformation.py	base_llm/anthropic_messages/transformation.rs	BaseAnthropicMessagesConfig	BaseAnthropicMessagesConfig	declaration			not assessed	Required scaffold methods do not imply inherited behavior is implemented	39aa0a29d3ba1ec6b99ceca726f586daec0397de	llms
operation	messages	litellm/llms/base_llm/anthropic_messages/transformation.py::BaseAnthropicMessagesConfig.validate_anthropic_messages_environment	base_llm/anthropic_messages/transformation.rs::BaseAnthropicMessagesConfig::validate_anthropic_messages_environment	BaseAnthropicMessagesConfig	BaseAnthropicMessagesConfig	declaration	abstract		not assessed		39aa0a29d3ba1ec6b99ceca726f586daec0397de	llms
operation	messages	litellm/llms/base_llm/anthropic_messages/transformation.py::BaseAnthropicMessagesConfig.get_complete_url	base_llm/anthropic_messages/transformation.rs::BaseAnthropicMessagesConfig::get_complete_url	BaseAnthropicMessagesConfig	BaseAnthropicMessagesConfig	declaration	abstract		not assessed		39aa0a29d3ba1ec6b99ceca726f586daec0397de	llms
