open_issue_id,open_issue_title,match_found,score,match_issue_id,match_issue_title
23047,[Bug]: Thinking blocks corrupted on round-trip when assistant performs multiple web searches,False,0.8010,,
23034,[Bug]: Langfuse logging stopped working on its own on v1.81.16,False,0.7729,,
23033,"Add ""mercury 2"" model from inceptionlabs.ai in ""model_prices_and_context_window.json""",True,0.8430,22389,"Add ""opus-4-6"" via Azure in ""model_prices_and_context_window.json"""
23031,[Bug]: AzureOpenAIGPT5Config missing is_model_gpt_5_1_model attribute — Azure GPT-5.4 deployment fails with AttributeError,False,0.8174,,
23025,Anthropic message format validation doesn't reject unsupported image URL sources in /v1/messages endpoint,False,0.7473,,
23022,[Feature]: `config.yaml`'s JSON Schema,False,0.7985,,
23016,"[Bug]: /v1/messages with image url source returns ""URL sources are not supported"" but /v1/chat/completions works fine",False,0.7500,,
23014,[Bug]: gpt-5.4-pro does not work with the v1/chat/completions endpoint,False,0.7750,,
23005,[Bug] UI very slow in version 1.82.x,False,0.6745,,
22998,[Bug]: litellm_proxy_extras migrations recorded as applied but columns not created — causes silent failures and 500 errors on upgrade,False,0.7804,,
22997,[Bug]: Latest stable 1.81.14 fails on thinking and tools,False,0.8073,,
22996,[Feature]: Support Azure-hosted Containers for Code Interpreter file retrieval,False,0.7278,,
22984,[Bug]: Proper usage handling from VLLM (cached_tokens),False,0.7522,,
22983,"[Bug]: v1.81.14-nightly - litellm-proxy-extras 0.4.46 ships a schema.prisma with a duplicate LiteLLM_DeletedTeamTable model, breaking prisma generate",False,0.7875,,
22973,[Feature]: Add the ability to filter logs on sessionId,False,0.7330,,
22972,[Bug]: Missing jp. (Japan) region prefix for claude-sonnet-4-6 in model_prices_and_context_window.json,False,0.7706,,
22970,[Bug]: VertexAI (Gemini) + LiteLLM Request Caching is broken,False,0.7965,,
22968,ChatGPT provider rejects system-role payloads in chat/responses paths,False,0.7763,,
22966,[Feature]: Key-level tag routing enforcement (allowed_tags or enforced_tags on virtual keys),False,0.7108,,
22965,[Bug]: VertexAI - unable to use 3rd party model - Qwen 3.5 with dedicated endpoint,False,0.7872,,
22963,Claude Code fails with non-Anthropic models via LiteLLM Proxy (Unknown parameter: output_config),True,0.8485,21407,[Bug]: Getting 'output_config: Extra inputs are not permitted' error when calling the Anthropic Messages API for Claude Models deployed on VertexAI
